==17055== Memcheck, a memory error detector
==17055== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==17055== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==17055== Command: trey-RunCollatz.c++.app
5186 7249 262
3171 6514 262
222 7458 262
8435 4769 262
9705 2230 262
3054 1959 217
1069 5408 238
9947 6102 262
329 527 142
607 9845 262
2531 9967 262
9606 8105 260
385 8018 262
1754 5028 238
6605 2301 262
8009 7181 252
9524 6463 260
2296 1658 183
2143 4618 238
9035 3650 262
1914 4627 238
351 7854 262
2326 2966 217
2712 2121 209
7570 8674 252
5019 9709 262
8493 7691 252
4104 8619 262
1383 1713 180
8969 2616 262
1143 7672 262
2154 8745 262
6929 4880 262
5152 437 238
1432 6970 262
4933 3598 238
4616 4842 197
322 5504 238
8995 5030 262
234 2739 209
6248 5103 262
570 4979 238
4394 4060 215
2971 5947 238
572 988 179
6561 1570 262
7031 9723 260
3305 8019 262
6882 702 262
8677 9113 247
1835 3778 238
1970 3388 217
6244 7339 257
4747 6028 236
546 9801 262
1715 9798 262
2424 9217 262
5576 2158 238
5921 5611 218
6338 2802 262
7073 8437 252
5958 6997 262
9674 8553 260
1229 5348 238
6252 36 262
1366 9814 262
7478 2245 262
1883 9200 262
7865 6625 257
3030 4688 238
6843 5947 262
9334 7455 260
2069 5887 238
6575 5946 262
6198 166 262
3930 9915 262
9224 825 262
1934 2037 175
5987 4639 236
1428 5572 238
2469 5142 238
4724 8318 262
5106 7327 262
7827 8964 252
4480 8629 262
1777 1789 149
8508 5550 262
1893 9661 262
491 9951 262
6028 3268 238
4276 2892 238
6832 6627 182
2137 6714 262
8446 5018 262
1009 8022 262
5041 1741 238
9200 5187 262
7221 4332 262
8819 4045 262
2386 9205 262
8821 4577 262
6877 6096 262
9776 9536 198
961 123 179
4258 3219 238
2528 9810 262
6113 4871 236
1761 3985 238
7740 6589 257
6961 9112 252
7016 2 262
1228 1340 177
4519 9498 262
750 4279 238
7307 2305 262
8098 4391 262
7651 7370 239
8082 733 262
3862 5624 236
9513 4781 262
5619 3972 236
3505 9052 262
8065 4159 262
7828 337 262
7331 5486 262
7286 4502 262
5128 7325 262
2065 5008 238
1584 3312 217
9579 6580 260
3588 4207 238
467 8774 262
562 463 142
6086 1598 238
822 8757 262
3077 6778 262
9434 8966 260
429 3801 238
2872 9354 262
5809 9430 262
6621 8122 257
898 3029 217
9423 8869 260
9940 7757 260
1810 6028 238
1805 9436 262
7243 3862 262
3483 744 217
1276 9237 262
2108 8270 262
7910 4049 262
3373 3927 238
2592 7932 262
6516 224 262
8140 5660 262
9913 1002 262
3290 6513 262
6775 5358 262
3549 4839 238
7441 2695 262
541 1962 182
3315 1112 217
9154 9708 260
7640 9664 260
1439 4881 238
9967 7415 260
2443 2218 183
4454 8686 262
5937 583 238
6934 4382 262
7334 3449 262
2047 3883 238
7029 113 262
9725 633 262
9834 8455 260
9750 7246 260
5228 3595 238
4235 2724 238
8739 9319 260
451 5225 238
6926 765 262
667 8695 262
7164 7531 239
1357 626 182
8692 6106 262
1506 1261 177
3259 9330 262
8587 1585 262
2093 8431 262
1218 8638 262
898 138 179
9539 1872 262
6098 7326 262
7886 3514 262
3687 6726 262
9469 9288 198
6635 1322 262
9476 3177 262
8097 8239 190
1234 1403 177
5383 5177 192
9918 6309 260
4049 9709 262
9641 401 262
2350 6163 238
2713 4451 238
3761 4204 189
4357 1290 238
9330 1728 262
2243 8640 262
2197 2229 183
7803 227 262
3789 3417 238
5503 4241 215
4915 9518 262
7004 2227 262
5262 4450 210
9421 9466 154
1653 6855 262
822 1 171
8826 817 262
1490 5606 238
6463 8051 257
6525 8196 257
2731 8292 262
3887 9459 262
7715 4708 262
2133 9780 262
9732 232 262
3782 988 238
3796 8909 262
3491 3835 238
4231 3569 238
5038 1697 238
2820 7466 262
7511 6526 257
9759 2842 262
8982 1747 262
7163 3848 262
5531 9487 262
3905 4686 215
4459 6304 262
6165 6442 262
3233 2390 217
231 7640 262
9851 4148 262
2789 4259 238
6067 8961 262
9267 4665 262
2269 4028 238
2586 3730 238
1626 8185 262
3143 8252 262
1601 6791 262
5763 2726 238
2919 4976 238
931 505 179
9617 3775 262
5692 423 238
8985 7056 252
4270 3079 238
6829 4489 262
9672 4156 262
1797 7306 262
5344 4358 215
2295 9078 262
262 6895 262
891 3349 217
1780 3756 238
4071 3585 238
8008 1468 262
9682 8618 260
5535 5522 130
493 8518 262
8894 167 262
9897 1671 262
5355 6934 262
5000 3724 215
2315 872 183
3078 3008 155
4859 8261 262
9684 5089 262
7917 3327 262
603 1148 179
827 4382 238
5255 1061 238
2107 1696 180
6158 2229 238
8765 439 262
7642 9507 260
7559 2033 262
7119 9876 260
5310 6409 262
3893 7920 262
1540 5802 238
3784 4615 215
9554 7979 260
2595 2465 178
1369 3078 217
7898 4569 262
7848 3606 262
6490 3896 262
7838 1561 262
4417 1706 238
9162 141 262
7504 832 262
9903 33 262
2964 401 217
572 1908 182
6859 3406 262
6483 7403 257
7907 7555 221
4939 616 238
5485 2801 238
3665 952 217
8519 6046 262
5358 5979 236
2413 4675 238
8160 9934 260
3161 5749 238
3439 9448 262
1354 6977 262
305 3151 217
3926 8910 262
997 5912 238
8153 5181 262
2457 1632 183
702 9105 262
7219 771 262
4313 417 238
1074 64 179
6086 5560 236
5875 2254 238
4292 8538 262
3328 3096 199
5107 7080 262
9648 1366 262
6761 607 262
1543 5154 238
6192 2350 262
1154 4351 238
2514 7824 262
1310 4888 238
2327 5863 238
2716 5043 238
4244 6393 262
1569 7910 262
3862 1235 238
9469 7010 260
5858 352 238
7500 3925 262
6890 6166 262
2860 7839 262
1538 2849 209
9530 6906 260
3664 5794 238
4125 485 238
7245 8897 252
4288 9451 262
3988 3718 189
9792 9035 260
9857 5099 262
5813 4931 236
9018 2432 262
3808 8783 262
1631 4357 238
7851 3584 262
1446 7438 262
3336 3001 199
203 6076 238
554 1188 182
8478 1789 262
7803 1283 262
6794 4862 262
7399 1420 262
6577 322 262
3274 6851 262
7845 3232 262
649 5571 238
9405 5343 262
6712 2691 262
7755 6333 257
6185 5718 262
2912 8012 262
7200 8927 252
2930 9190 262
1010 4 179
4016 2200 238
3693 6295 262
9832 9480 198
9269 1152 262
1822 62 182
1378 3100 217
2227 1344 183
5084 1851 238
2820 1091 209
1196 5560 238
5325 8251 262
3042 3135 186
4015 8908 262
9615 3889 262
7006 5405 262
9636 4403 262
430 2554 209
8211 9030 247
8835 4724 262
1506 6205 262
5922 1525 238
5133 7403 262
2047 7883 262
8775 9426 260
8770 6322 257
3022 3555 199
6216 5439 262
4314 6999 262
5964 8777 262
455 3102 217
784 2531 209
2254 6789 262
2653 8892 262
6477 837 262
2161 4187 238
1564 6774 262
5696 7474 262
301 1384 182
1581 5719 238
3015 6153 238
2747 6304 262
748 2300 183
1417 6233 262
355 8520 262
844 112 171
2481 1981 209
141 5758 238
9002 5737 262
923 7106 262
8622 7277 252
8636 8991 247
8099 3630 262
7218 7317 195
1809 8185 262
3045 1178 217
4222 3154 238
2988 519 217
8276 9513 260
1858 4140 238
7590 3144 262
6510 7978 257
2013 1890 175
7431 2936 262
4073 3309 238
3796 4793 215
8581 7002 252
4628 6191 262
8834 8565 216
6970 2080 262
663 4456 238
1796 5581 238
9922 8381 260
9748 762 262
9900 127 262
1742 2493 209
2631 7240 262
3976 1227 238
2102 8394 262
2940 2360 217
7949 4864 262
3666 5595 238
5397 3134 238
3630 9688 262
920 7323 262
5474 1871 238
3381 4866 238
4037 9270 262
7238 2681 262
7063 1735 262
7856 3918 262
4372 1611 238
8883 7291 252
7310 6220 257
8209 2013 262
8842 3055 262
2138 1376 180
4781 6046 236
7011 7137 195
8340 3635 262
3797 5047 215
3441 5858 238
3909 9098 262
7027 8147 252
3874 8361 262
7023 4142 262
2373 5635 238
485 8459 262
5658 1582 238
6027 3049 238
6376 1473 262
5655 7556 262
6414 4250 262
3762 4920 215
6573 5199 262
5241 8345 262
4553 4214 215
411 4738 238
8050 1358 262
1781 2703 209
1603 249 182
6535 286 262
4215 7624 262
9079 8800 247
9789 4392 262
9979 4255 262
3896 9456 262
1193 7195 262
8546 2630 262
2619 5074 238
1229 7107 262
1679 8701 262
5788 5077 236
5899 5704 218
387 2371 183
8277 9553 260
2253 9263 262
6592 2166 262
9738 4955 262
745 1862 182
9734 2683 262
6750 6054 262
2496 856 209
2024 9878 262
6540 3222 262
4271 7797 262
3429 7621 262
5446 5060 192
5977 8601 262
3031 9920 262
3704 3884 238
3162 5469 238
6193 8470 257
4041 2069 238
8434 3051 262
3496 7488 262
2197 5286 238
1549 2049 180
4002 3527 238
7425 377 262
3376 2601 217
560 9649 262
4720 358 238
6860 6667 182
2326 1909 183
4695 2489 238
913 5671 238
9954 3914 262
3319 1659 217
5851 5669 218
2981 7813 262
1099 5798 238
1230 4594 238
9600 9461 198
8516 1538 262
5833 3103 238
4240 2029 238
2772 1815 209
2046 4160 238
3342 7560 262
6139 6212 262
2175 4925 238
9476 5034 262
1751 4074 238
6542 4395 262
5878 7621 262
1790 8248 262
3900 9349 262
9850 752 262
1035 7842 262
5091 921 238
3806 7401 262
6261 4770 262
4654 1946 238
6551 1980 262
6500 4976 262
674 7258 262
6300 125 262
8332 8801 234
6434 2392 262
7772 7592 177
4138 9658 262
4059 1594 238
2161 7790 262
4149 8342 262
8289 297 262
4905 7927 262
7475 5320 262
753 5901 238
7929 8505 252
4871 2252 238
1704 264 182
1508 8264 262
1085 9835 262
7314 7833 239
4371 6599 262
6407 3573 262
8568 1186 262
7315 952 262
1886 5019 238
9905 5579 262
5991 7209 262
6932 9778 260
6497 1908 262
7943 4633 262
315 7613 262
2938 2770 217
174 2291 183
9399 5360 262
9870 4626 262
9081 4023 262
8625 2253 262
315 4635 238
9297 2377 262
74675 54066 335
31498 88466 351
16941 59920 340
33569 24547 308
61185 79138 351
5157 79869 351
42132 91158 351
60455 23956 340
22767 70678 340
35501 33475 311
56431 55278 322
39681 63616 340
35355 97986 351
76554 17638 340
93244 41144 351
54147 97703 351
13578 26570 282
9326 31506 308
45007 26233 324
90813 21280 351
40564 37513 306
81111 54421 351
18366 37632 324
88830 48282 351
88049 32924 351
9821 75623 340
99407 70384 351
38052 31715 324
47516 1267 324
5281 59341 340
12114 99519 351
42367 43650 257
18039 41425 324
84460 25338 351
78289 47098 351
87304 57595 351
21562 69303 340
82573 50000 351
12107 90591 351
76378 813 340
41297 55822 340
87029 18035 351
7537 23930 282
25618 69182 340
3959 70102 340
46152 79873 351
1810 7552 262
30730 22146 308
51521 26698 324
29649 94833 351
23148 68762 340
46354 374 324
73219 60685 335
42771 65148 340
55960 38757 340
41864 33664 324
93485 79439 333
21115 90912 351
81696 37624 351
23169 31704 308
36527 64936 340
58031 1034 340
78572 43645 351
34955 75247 340
13253 25402 282
41575 40286 288
88373 8240 351
82840 50288 351
1243 20127 279
2969 17505 276
83518 2875 351
39885 92819 351
13469 6296 276
3525 45039 324
92614 9260 351
26905 36735 324
76477 81642 351
11971 24514 282
67686 89169 351
81059 82479 320
63719 21760 340
49148 58998 340
1292 95207 351
52140 28998 324
54748 35910 340
2020 96644 351
26723 8854 308
91043 36586 351
15980 90139 351
33962 35877 324
59497 17117 340
19859 13195 279
23717 71538 340
43264 47225 314
63344 64109 330
98029 41797 351
75143 92478 351
46814 91857 351
48890 38892 314
24048 91364 351
58 59 33
91 42 116
39 86 116
38 80 116
75 50 116
17 33 112
54 50 113
9 77 116
42 87 116
29 2 112
14 88 116
36 76 116
7 84 116
53 95 116
44 20 112
82 63 116
68 9 113
73 46 116
39 90 116
22 59 113
60 8 113
79 53 116
28 59 113
84 27 116
74 49 116
88 22 116
30 65 113
7 62 113
7 9 20
93 36 116
17 8 20
46 1 112
52 10 112
66 79 116
90 51 116
94 32 116
2 54 113
22 20 16
66 41 113
7 77 116
93 46 116
11 31 112
23 93 116
55 89 116
34 82 116
8 17 20
28 1 112
23 84 116
3 43 112
95 49 116
90 47 116
40 89 116
79 35 116
84 48 116
70 40 113
24 97 119
64 52 113
11 61 113
60 6 113
49 38 110
14 62 113
86 17 116
17 96 116
79 21 116
62 35 113
5 72 113
98 2 119
38 4 112
30 66 113
46 54 113
54 77 116
98 96 119
46 69 113
1 89 116
53 24 112
96 89 106
8 30 112
26 70 113
58 79 116
40 91 116
79 59 116
1 78 116
82 9 116
40 96 116
93 74 111
41 85 116
80 7 116
72 14 113
4 3 8
93 7 116
68 49 113
91 51 116
21 97 119
13 57 113
61 41 113
16 4 20
98 74 119
13 39 112
87 77 111
71 26 113
66 56 108
11 85 116
7 94 116
58 52 113
56 54 113
31 6 112
56 68 108
77 16 116
21 21 8
34 27 112
82 20 116
46 90 116
55 78 116
84 24 116
37 8 112
68 16 113
100 71 119
70 74 116
72 18 113
44 21 112
45 37 110
37 98 119
19 94 116
44 46 17
90 65 116
5 48 112
64 72 103
78 9 116
21 89 116
86 70 116
56 91 116
28 90 116
6 54 113
3 57 113
94 4 116
35 14 112
29 28 19
92 51 116
89 23 116
43 71 113
4 70 113
35 73 116
7 56 113
62 89 116
48 59 113
59 93 116
15 25 24
92 45 116
98 53 119
87 62 116
99 78 119
9 10 20
3 35 112
36 57 113
43 22 112
29 28 19
30 57 113
6 41 112
56 56 20
78 87 111
58 99 119
75 11 116
2 72 113
47 43 105
51 93 116
34 94 116
79 42 116
11 93 116
41 89 116
97 24 119
33 38 27
32 8 112
51 54 113
79 98 119
17 22 21
85 79 111
46 42 30
29 97 119
25 24 24
60 30 113
95 69 116
66 23 113
67 85 116
54 8 113
68 69 15
42 86 116
50 34 110
45 48 105
18 47 112
34 40 35
99 35 119
90 71 116
14 24 21
54 59 113
30 5 112
30 80 116
22 51 112
8 93 116
40 5 112
67 31 113
51 44 105
51 49 25
6 52 112
43 25 112
26 54 113
22 89 116
82 2 116
54 36 113
27 89 116
57 40 113
47 94 116
72 60 108
27 32 112
10 52 112
52 68 113
48 70 113
23 43 112
25 51 112
47 94 116
28 96 116
12 32 112
51 87 116
5 69 113
11 74 116
92 25 116
86 49 116
69 72 103
16 30 112
73 86 116
90 15 116
81 88 111
53 92 116
20 52 112
9 60 113
82 37 116
94 51 116
83 96 111
96 19 116
82 66 116
17 3 20
71 20 113
22 12 21
41 94 116
44 54 113
74 59 116
10 50 112
14 29 112
8 69 113
59 32 113
45 79 116
51 67 113
23 93 116
67 74 116
28 58 113
48 72 113
27 70 113
5 45 112
87 49 116
89 92 93
40 49 110
12 82 116
67 78 116
48 33 110
46 56 113
23 65 113
49 96 116
4 38 112
98 44 119
84 87 31
75 38 116
18 10 21
92 86 93
79 60 116
91 79 111
66 91 116
73 53 116
74 12 116
17 19 21
16 80 116
67 86 116
89 24 116
13 43 112
11 61 113
50 77 116
51 41 110
6 50 112
83 60 116
82 91 111
95 49 116
91 47 116
20 62 113
100 13 119
14 90 116
18 43 112
45 62 113
25 3 24
67 66 28
32 90 116
99 11 119
21 73 116
==17055== 
==17055== HEAP SUMMARY:
==17055==     in use at exit: 122,880 bytes in 6 blocks
==17055==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==17055== 
==17055== LEAK SUMMARY:
==17055==    definitely lost: 0 bytes in 0 blocks
==17055==    indirectly lost: 0 bytes in 0 blocks
==17055==      possibly lost: 0 bytes in 0 blocks
==17055==    still reachable: 122,880 bytes in 6 blocks
==17055==         suppressed: 0 bytes in 0 blocks
==17055== Rerun with --leak-check=full to see details of leaked memory
==17055== 
==17055== For counts of detected and suppressed errors, rerun with: -v
==17055== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 21 from 6)
