==23858== Memcheck, a memory error detector
==23858== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==23858== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==23858== Command: RunCollatz
27206 15081 308
80419 59275 351
59650 40414 340
83321 19026 351
22013 1784 279
54789 24118 340
24009 81551 351
65325 19196 340
51258 24512 324
35691 38667 306
62411 60594 335
90554 9566 351
90961 28743 351
51404 54353 340
7308 56142 340
44911 13201 324
92800 43128 351
20172 57788 340
34415 31626 311
16642 19518 279
55349 1843 340
14316 15975 271
81446 11374 351
72221 39912 340
9240 45055 324
41306 56930 340
82254 54190 351
15167 4357 276
59305 59861 273
45899 5593 324
1721 66117 340
51581 98868 351
49353 26940 324
78699 94902 338
60812 16617 340
56892 48672 340
31729 26672 285
51662 77046 351
3121 20241 279
17159 99454 351
69628 85351 351
53712 35564 340
29595 7534 308
1728 7828 262
98796 19532 351
37443 51517 314
85007 78516 338
66925 42602 340
27098 68662 340
67104 34325 340
80109 44937 351
2282 17016 276
43711 63217 340
1906 75974 340
67782 82721 351
70792 81170 351
97866 15828 351
29537 16729 308
57126 20385 340
80168 89950 333
477 16047 276
21577 68667 340
77468 60521 351
27385 41992 324
25211 33259 308
28212 68745 340
19519 85719 351
21935 66826 340
80768 58690 351
49819 73015 340
11826 2919 268
58029 33030 340
78035 6728 351
51241 33755 324
86541 8397 351
90936 3084 351
48049 46866 314
87012 15253 351
53065 77877 351
17238 32676 308
70246 82711 351
70416 28193 340
24711 54748 340
63038 1300 340
68448 49716 340
41694 59580 340
67130 95165 351
33980 53502 340
95526 10290 351
74959 14034 340
11801 65090 340
87671 35218 351
80847 21039 351
9544 40339 324
85937 3322 351
97720 36497 351
91248 43789 351
28360 25988 308
45036 65236 340
83913 85685 320
45990 83785 351
63735 22668 340
520 72616 340
67046 65977 268
26662 65826 340
82820 71632 351
22904 72699 340
36799 92640 351
14005 9504 276
680 48766 324
7392 4108 262
64925 14366 340
57122 14455 340
77107 27451 351
51704 30833 324
71033 32142 340
61655 81978 351
42218 53901 340
57290 73466 335
84748 3623 351
89880 59318 351
1517 64049 340
82763 21030 351
49040 52709 340
5904 2658 238
10762 75753 340
61467 8622 340
44558 6997 324
26956 66931 340
21495 45556 324
92222 29313 351
2294 31428 308
42233 77445 351
34792 2199 311
49153 44857 314
73571 64304 325
27440 12915 308
35800 26767 324
91836 81922 333
46044 22753 324
74087 89720 351
39151 68411 340
18624 44670 324
9606 49944 324
37312 22432 324
77993 39817 351
38700 86972 351
80640 1371 351
25837 79892 351
82858 94834 333
83329 18178 351
74411 17684 340
85177 23490 351
72092 70435 325
84712 26905 351
91027 64892 351
10791 523 262
59365 6891 340
24885 16814 282
41442 7128 324
16180 85785 351
94538 29871 351
87562 32582 351
74166 45803 340
57733 67333 335
47855 59760 340
9848 72378 340
40463 79011 351
43820 98151 351
13378 942 276
43837 26721 324
32300 96113 351
34760 19957 311
74391 36153 340
30049 95015 351
59045 14919 340
40151 50102 314
41296 19822 324
95732 44502 351
28246 54962 340
46058 3511 324
93929 50806 351
62174 82138 351
9670 39097 324
4504 47422 324
18676 78519 351
24301 76490 340
40263 32055 324
68264 58644 335
24890 45251 324
76736 69416 325
31365 52495 324
50964 67759 340
85653 85093 289
57317 66715 335
61421 58061 335
7451 63369 340
78742 91848 338
99197 4788 351
2502 88235 351
93129 70572 351
77449 87876 338
17254 41872 324
69330 62294 330
33720 73472 340
38821 25765 324
81080 42631 351
94411 88081 333
66114 63343 330
98139 48383 351
46045 98829 351
98394 63576 351
981 9001 262
45597 5948 324
67371 66088 268
6544 52734 340
62853 90262 351
76825 54401 335
82381 70779 351
71858 73424 294
59499 67015 335
52846 61663 335
68510 26611 340
96850 9219 351
19291 75056 340
85744 18556 351
36386 6535 324
86276 77322 338
11152 21227 279
75252 94460 351
32784 16715 308
66438 37880 340
7699 14101 276
83138 94286 333
45879 18285 324
70343 64916 312
45961 63068 340
35141 10708 311
43567 20729 324
563 66364 340
41970 42891 288
12624 22279 279
17314 45762 324
27011 34841 311
76979 46001 340
7395 34508 311
87657 66552 351
61787 93432 351
54545 80740 351
8777 7585 252
74253 74109 263
75515 91455 351
95020 83029 333
66672 92371 351
56664 67948 335
84025 24544 351
16855 6009 276
14982 80553 351
86289 68164 351
8360 11020 268
55380 95357 351
19462 8488 279
8354 43900 324
85789 94245 333
69881 82467 351
38284 65275 340
237 18910 279
98568 21835 351
47940 69685 340
69652 89550 351
9267 47468 324
111 19590 279
86328 97774 333
25582 89296 351
7937 37875 324
45436 58232 340
66973 83029 351
19799 39071 324
74588 66298 325
69090 2647 340
29091 58112 340
66613 57464 335
72113 23782 340
51952 29231 324
3322 53214 340
55129 71951 335
28601 88960 351
49755 89993 351
55195 3331 340
48633 53560 340
58778 67780 335
18633 63273 340
86384 39082 351
37154 32623 324
98522 97957 266
9819 75592 340
66901 197 340
74121 62705 330
33600 7130 308
27145 59176 340
40871 18417 324
4600 47081 324
74619 64289 325
79453 48129 351
52801 87663 351
44841 79150 351
86386 66584 351
24516 30660 308
14879 45960 324
18562 68383 340
28049 84055 351
49441 51382 309
18771 2029 279
40252 67545 340
5870 17596 276
72470 22711 340
8173 5924 262
52126 56220 340
98851 61432 351
11244 47847 324
25870 66671 340
41395 94611 351
26393 31065 308
9525 59362 340
39520 93621 351
81563 71662 351
3726 79435 351
5950 22091 279
37323 86261 351
60094 59929 286
85123 16382 351
26367 66469 340
71024 12723 340
66640 63518 299
8794 69365 340
59179 61957 335
56772 88342 351
51356 60837 340
68490 79729 351
67121 74903 325
10313 39617 324
33348 53947 340
32852 2673 308
25812 46524 324
91737 82606 333
29608 80634 351
87867 91554 333
41413 97926 351
14041 59154 340
34258 21734 311
88296 88140 271
42252 61259 340
92695 94161 315
51139 49930 278
19876 4599 279
94293 25634 351
14563 43277 324
93237 90647 333
83874 29465 351
27485 42193 324
54120 33843 340
99329 78860 333
263 44146 324
5717 27128 308
92173 8749 351
44001 74371 340
61399 61293 242
89546 8929 351
12301 92144 351
52193 73564 340
14784 44273 324
69802 84010 351
46222 14487 324
24514 15770 282
32532 45358 324
45820 49487 314
46857 39817 314
64255 9755 340
49815 62616 340
66538 62967 330
47298 58878 340
25761 77413 351
80192 38232 351
54175 12464 340
14878 80325 351
94785 27834 351
6751 59528 340
45000 77430 351
99610 12145 351
55365 72452 335
32813 51980 324
24135 32408 308
93584 67601 351
14260 88311 351
754 15892 276
79322 73226 351
65254 13930 340
36097 30554 324
30662 84859 351
27492 22964 308
42921 40769 288
81688 16527 351
55473 35220 340
55642 38205 340
82952 88093 333
58446 81371 351
49475 41963 314
96177 25318 351
25827 58414 340
23345 62572 340
85980 51036 351
68130 57289 335
59849 979 340
5618 17724 279
47839 19509 324
88930 94927 333
29969 71807 340
25200 32256 308
59830 23277 340
3489 27897 308
2820 61865 340
91138 92417 333
80319 4492 351
80684 18399 351
91121 19749 351
89962 5652 351
11019 75978 340
79947 18662 351
31479 12229 308
25064 25236 264
71507 91309 351
78969 55680 351
4120 7324 262
49678 79393 351
78954 56979 351
51854 89296 351
8272 48476 324
40205 66963 340
28033 8820 308
83532 34036 351
9469 52469 324
52611 50235 340
67271 6779 340
6266 69046 340
43280 89076 351
75328 12688 340
25364 59038 340
75767 74535 325
3084 18676 279
26185 59556 340
44157 17400 324
63665 52094 340
57887 20634 340
44925 88048 351
195 71331 340
36768 25666 324
6911 31683 308
56806 96315 351
79653 76242 351
73586 37592 340
97807 64761 351
17961 913 279
10404 63431 340
1086 14201 276
48586 84468 351
30485 3989 308
55201 95687 351
80101 45496 351
28200 61103 340
4429 67184 340
93918 7137 351
87803 74490 351
56579 39726 340
20790 46723 324
60596 40606 340
42320 38692 306
20722 17775 274
98515 69863 351
75707 71284 325
34627 16420 311
23802 94331 351
97645 52376 351
23259 1463 279
3132 46737 324
60721 8309 340
61025 86948 351
80509 88412 333
19398 56001 340
78315 61897 351
34000 95646 351
92534 14963 351
80540 13755 351
58822 94287 351
76537 11 340
14663 78174 351
14494 6636 276
74989 84572 351
6839 4822 262
64892 98414 351
50561 89958 351
44093 58744 340
89776 32769 351
30414 416 308
16637 19892 279
23348 54370 340
54833 24135 340
28929 95144 351
40880 10907 324
39055 25808 324
32538 35204 311
4422 27448 308
51035 51950 309
19417 67760 340
81939 78551 338
35184 52187 324
81097 59686 351
70525 97923 351
60364 29182 340
73013 33252 340
72203 35496 340
61537 33455 340
2209 46981 324
8032 20831 279
32096 66715 340
13113 12137 263
29938 22010 308
15686 42920 324
84382 69611 351
99909 11610 351
99440 32868 351
96120 11267 351
75000 44521 340
74516 42578 340
59923 97143 351
3981 35882 324
26886 10031 308
56326 12437 340
46995 43946 314
52603 23234 340
28481 63457 340
92835 76518 351
98882 8782 351
33459 62806 340
74993 74161 325
48652 16202 324
8543 53945 340
49636 7556 324
21873 57444 340
47323 37014 314
78442 84782 338
85780 69519 351
47161 61730 340
64956 59083 335
29365 3033 308
19314 59196 340
34329 22505 311
19856 37712 324
3882 11611 268
99905 92552 328
77617 96762 338
48865 45406 314
32123 65114 340
4944 48637 324
85119 52995 351
52189 53744 340
17640 74503 340
70344 55071 335
36220 48213 314
3318 9933 262
27783 74098 340
47860 47074 314
35591 44820 324
44011 80912 351
53016 34979 340
28543 96046 351
48271 60563 340
3009 73984 340
31100 40710 324
38214 18551 324
42952 54666 340
3503 51618 324
14954 35300 311
17917 7585 279
11870 67443 340
23504 41516 324
74330 7258 340
13383 90265 351
9353 5155 262
32527 16028 308
78756 49260 351
2953 7387 262
67423 59130 335
43787 95550 351
41880 29199 324
78891 98604 333
14687 32444 308
68828 93586 351
199 88588 351
70818 34032 340
73477 67462 325
31564 50215 324
6384 86833 351
29723 25512 308
32792 82872 351
6143 64734 340
31554 78031 351
22381 78705 351
64916 98888 351
37111 66682 340
11559 48787 324
11434 4041 268
62660 21937 340
17563 76939 340
49755 54527 340
33527 29713 285
27596 98622 351
81178 10342 351
69159 83055 351
6021 77198 351
64728 32452 340
59463 10333 340
22938 805 279
46058 54406 340
908 99944 351
94259 56540 351
17344 83698 351
22282 32966 308
81458 75606 351
90118 68413 351
85625 90185 333
61460 20300 340
42217 14741 324
96852 87847 333
92923 76894 351
38616 58050 340
51362 93650 351
17232 57797 340
26124 50697 324
87445 95251 333
96239 72432 351
59360 15936 340
21266 77802 351
18388 32438 308
63949 15121 340
15425 23895 282
42776 27904 324
34990 16287 311
90846 34144 351
57258 16333 340
13262 85579 351
57105 84203 351
57032 78221 351
84687 78631 338
38644 62368 340
5649 3845 236
97318 29750 351
70126 41274 340
7864 45417 324
46681 15349 324
60980 50958 340
86815 52706 351
72190 33308 340
94906 74528 351
13615 83716 351
79309 98898 333
69450 97496 351
56030 9027 340
87867 84399 333
58986 46663 340
77519 98854 338
70580 16204 340
13384 10724 276
30560 53222 340
21175 79035 351
22676 40703 324
89437 63280 351
42916 94751 351
13014 88851 351
72493 2949 340
84084 82982 289
25848 43209 324
32707 10179 308
42307 58268 340
4115 33911 308
84471 27359 351
28618 24947 308
22305 77657 351
49664 33638 324
49899 91735 351
48657 68509 340
53013 59114 322
96281 76725 351
79105 84614 320
52074 39963 314
92980 64378 351
48270 91148 351
5632 19754 279
25634 38740 324
52521 51195 309
77598 89425 338
36872 84959 351
93321 88949 333
28019 37402 324
20518 6393 279
12614 23581 282
91357 87941 333
88595 3869 351
35671 82464 351
21650 65135 340
76426 39872 340
91892 85651 333
81218 30011 351
42655 16526 324
63902 5495 340
96393 98035 297
24971 92547 351
56188 36122 340
31566 83590 351
12972 54866 340
71161 12111 340
40776 28110 324
69695 23324 340
31535 18475 308
34415 55495 340
40424 46876 314
73078 21358 340
25628 5223 282
85575 90173 333
98840 24040 351
68184 54418 335
50531 33891 324
82607 94897 333
2013 85896 351
31939 17517 308
5322 69685 340
39228 95579 351
24461 61973 340
43488 43636 195
11582 50527 324
39195 62031 340
51296 69259 340
33420 82213 351
63444 92313 351
68707 26629 340
26594 63927 340
31227 82727 351
42734 72982 340
95297 29393 351
18062 59010 340
21378 96125 351
50523 14241 324
1053 17816 279
55181 71293 335
57152 6053 340
94974 24678 351
30418 47627 324
12466 26262 282
22740 20850 269
25008 17720 282
52431 10377 324
37826 93582 351
8328 18660 279
13498 1194 276
58226 64830 335
98823 51349 351
32554 60880 340
69469 56228 335
37425 76432 340
74278 76407 325
80501 21273 351
31602 53931 340
30699 99078 351
14550 27295 308
77128 23653 351
60 19578 279
54671 38152 340
7225 97085 351
5021 75016 340
5220 54178 340
38696 86896 351
25665 85601 351
95119 5118 351
13724 81618 351
==23858== 
==23858== HEAP SUMMARY:
==23858==     in use at exit: 122,880 bytes in 6 blocks
==23858==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==23858== 
==23858== LEAK SUMMARY:
==23858==    definitely lost: 0 bytes in 0 blocks
==23858==    indirectly lost: 0 bytes in 0 blocks
==23858==      possibly lost: 0 bytes in 0 blocks
==23858==    still reachable: 122,880 bytes in 6 blocks
==23858==         suppressed: 0 bytes in 0 blocks
==23858== Rerun with --leak-check=full to see details of leaked memory
==23858== 
==23858== For counts of detected and suppressed errors, rerun with: -v
==23858== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 4 from 4)
